fips,name,State,State Code,Region,Division,msa,type_bea20
71,02060,Bristol Bay Borough,Alaska,AK,West,Pacific,,Rural
72,02068,Denali Borough,Alaska,AK,West,Pacific,,Rural
73,02070,Dillingham Census Area,Alaska,AK,West,Pacific,,Rural
74,02090,Fairbanks North Star Borough,Alaska,AK,West,Pacific,"Fairbanks, AK ",Metro
75,02100,Haines Borough,Alaska,AK,West,Pacific,,Rural
76,02105,Hoonah-Angoon Census Area,Alaska,AK,West,Pacific,,Rural
77,02110,Juneau City and Borough,Alaska,AK,West,Pacific,"Juneau, AK ",Micro
78,02122,Kenai Peninsula Borough,Alaska,AK,West,Pacific,,Rural
79,02130,Ketchikan Gateway Borough,Alaska,AK,West,Pacific,"Ketchikan, AK ",Micro
80,02150,Kodiak Island Borough,Alaska,AK,West,Pacific,,Rural
81,02164,Lake and Peninsula Borough,Alaska,AK,West,Pacific,,Rural
82,02170,Matanuska-Susitna Borough,Alaska,AK,West,Pacific,"Anchorage, AK ",Metro
83,02180,Nome Census Area,Alaska,AK,West,Pacific,,Rural
84,02185,North Slope Borough,Alaska,AK,West,Pacific,,Rural
85,02188,Northwest Arctic Borough,Alaska,AK,West,Pacific,,Rural
86,02195,Petersburg Borough,Alaska,AK,West,Pacific,,Rural
87,02198,Prince of Wales-Hyder Census Area,Alaska,AK,West,Pacific,,Rural
88,02220,Sitka City and Borough,Alaska,AK,West,Pacific,,Rural
89,02230,Skagway Municipality,Alaska,AK,West,Pacific,,Rural
90,02240,Southeast Fairbanks Census Area,Alaska,AK,West,Pacific,,Rural
91,02261,Valdez-Cordova Census Area,Alaska,AK,West,Pacific,,Rural
92,02270,Wade Hampton Census Area,Alaska,AK,West,Pacific,,Rural
93,02275,Wrangell City and Borough,Alaska,AK,West,Pacific,,Rural
94,02282,Yakutat City and Borough,Alaska,AK,West,Pacific,,Rural
95,02290,Yukon-Koyukuk Census Area,Alaska,AK,West,Pacific,,Rural
96,04001,Apache County,Arizona,AZ,West,Mountain,,Rural
97,04003,Cochise County,Arizona,AZ,West,Mountain,"Sierra Vista-Douglas, AZ ",Metro
98,04005,Coconino County,Arizona,AZ,West,Mountain,"Flagstaff, AZ ",Metro
99,04007,Gila County,Arizona,AZ,West,Mountain,"Payson, AZ ",Micro
100,04009,Graham County,Arizona,AZ,West,Mountain,"Safford, AZ ",Micro
101,04011,Greenlee County,Arizona,AZ,West,Mountain,,Rural
102,04012,La Paz County,Arizona,AZ,West,Mountain,,Rural
103,04013,Maricopa County,Arizona,AZ,West,Mountain,"Phoenix-Mesa-Chandler, AZ ",Metro
104,04015,Mohave County,Arizona,AZ,West,Mountain,"Lake Havasu City-Kingman, AZ ",Metro
105,04017,Navajo County,Arizona,AZ,West,Mountain,"Show Low, AZ ",Micro
106,04019,Pima County,Arizona,AZ,West,Mountain,"Tucson, AZ ",Metro
107,04021,Pinal County,Arizona,AZ,West,Mountain,"Phoenix-Mesa-Chandler, AZ ",Metro
108,04023,Santa Cruz County,Arizona,AZ,West,Mountain,"Nogales, AZ ",Micro
109,04025,Yavapai County,Arizona,AZ,West,Mountain,"Prescott Valley-Prescott, AZ ",Metro
110,04027,Yuma County,Arizona,AZ,West,Mountain,"Yuma, AZ ",Metro
111,05001,Arkansas County,Arkansas,AR,South,West South Central,,Rural
112,05003,Ashley County,Arkansas,AR,South,West South Central,,Rural
113,05005,Baxter County,Arkansas,AR,South,West South Central,"Mountain Home, AR ",Micro
114,05007,Benton County,Arkansas,AR,South,West South Central,"Fayetteville-Springdale-Rogers, AR ",Metro
115,05009,Boone County,Arkansas,AR,South,West South Central,"Harrison, AR ",Micro
116,05011,Bradley County,Arkansas,AR,South,West South Central,,Rural
117,05013,Calhoun County,Arkansas,AR,South,West South Central,"Camden, AR ",Micro
118,05015,Carroll County,Arkansas,AR,South,West South Central,,Rural
119,05017,Chicot County,Arkansas,AR,South,West South Central,,Rural
120,05019,Clark County,Arkansas,AR,South,West South Central,"Arkadelphia, AR ",Micro
121,05021,Clay County,Arkansas,AR,South,West South Central,,Rural
122,05023,Cleburne County,Arkansas,AR,South,West South Central,,Rural
123,05025,Cleveland County,Arkansas,AR,South,West South Central,"Pine Bluff, AR ",Metro
124,05027,Columbia County,Arkansas,AR,South,West South Central,"Magnolia, AR ",Micro
125,05029,Conway County,Arkansas,AR,South,West South Central,,Rural
126,05031,Craighead County,Arkansas,AR,South,West South Central,"Jonesboro, AR ",Metro
127,05033,Crawford County,Arkansas,AR,South,West South Central,"Fort Smith, AR-OK ",Metro
128,05035,Crittenden County,Arkansas,AR,South,West South Central,"Memphis, TN-MS-AR ",Metro
129,05037,Cross County,Arkansas,AR,South,West South Central,,Rural
130,05039,Dallas County,Arkansas,AR,South,West South Central,,Rural
131,05041,Desha County,Arkansas,AR,South,West South Central,,Rural
132,05043,Drew County,Arkansas,AR,South,West South Central,,Rural
133,05045,Faulkner County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
134,05047,Franklin County,Arkansas,AR,South,West South Central,"Fort Smith, AR-OK ",Metro
135,05049,Fulton County,Arkansas,AR,South,West South Central,,Rural
136,05051,Garland County,Arkansas,AR,South,West South Central,"Hot Springs, AR ",Metro
137,05053,Grant County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
138,05055,Greene County,Arkansas,AR,South,West South Central,"Paragould, AR ",Micro
139,05057,Hempstead County,Arkansas,AR,South,West South Central,"Hope, AR ",Micro
140,05059,Hot Spring County,Arkansas,AR,South,West South Central,"Malvern, AR ",Micro
141,05061,Howard County,Arkansas,AR,South,West South Central,,Rural
142,05063,Independence County,Arkansas,AR,South,West South Central,"Batesville, AR ",Micro
143,05065,Izard County,Arkansas,AR,South,West South Central,,Rural
144,05067,Jackson County,Arkansas,AR,South,West South Central,,Rural
145,05069,Jefferson County,Arkansas,AR,South,West South Central,"Pine Bluff, AR ",Metro
146,05071,Johnson County,Arkansas,AR,South,West South Central,,Rural
147,05073,Lafayette County,Arkansas,AR,South,West South Central,,Rural
148,05075,Lawrence County,Arkansas,AR,South,West South Central,,Rural
149,05077,Lee County,Arkansas,AR,South,West South Central,,Rural
150,05079,Lincoln County,Arkansas,AR,South,West South Central,"Pine Bluff, AR ",Metro
151,05081,Little River County,Arkansas,AR,South,West South Central,"Texarkana, TX-AR ",Metro
152,05083,Logan County,Arkansas,AR,South,West South Central,,Rural
153,05085,Lonoke County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
154,05087,Madison County,Arkansas,AR,South,West South Central,"Fayetteville-Springdale-Rogers, AR ",Metro
155,05089,Marion County,Arkansas,AR,South,West South Central,,Rural
156,05091,Miller County,Arkansas,AR,South,West South Central,"Texarkana, TX-AR ",Metro
157,05093,Mississippi County,Arkansas,AR,South,West South Central,"Blytheville, AR ",Micro
158,05095,Monroe County,Arkansas,AR,South,West South Central,,Rural
159,05097,Montgomery County,Arkansas,AR,South,West South Central,,Rural
160,05099,Nevada County,Arkansas,AR,South,West South Central,"Hope, AR ",Micro
161,05101,Newton County,Arkansas,AR,South,West South Central,"Harrison, AR ",Micro
162,05103,Ouachita County,Arkansas,AR,South,West South Central,"Camden, AR ",Micro
163,05105,Perry County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
164,05107,Phillips County,Arkansas,AR,South,West South Central,"Helena-West Helena, AR ",Micro
165,05109,Pike County,Arkansas,AR,South,West South Central,,Rural
166,05111,Poinsett County,Arkansas,AR,South,West South Central,"Jonesboro, AR ",Metro
167,05113,Polk County,Arkansas,AR,South,West South Central,,Rural
168,05115,Pope County,Arkansas,AR,South,West South Central,"Russellville, AR ",Micro
169,05117,Prairie County,Arkansas,AR,South,West South Central,,Rural
170,05119,Pulaski County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
171,05121,Randolph County,Arkansas,AR,South,West South Central,,Rural
172,05123,St. Francis County,Arkansas,AR,South,West South Central,"Forrest City, AR ",Micro
173,05125,Saline County,Arkansas,AR,South,West South Central,"Little Rock-North Little Rock-Conway, AR ",Metro
174,05127,Scott County,Arkansas,AR,South,West South Central,,Rural
175,05129,Searcy County,Arkansas,AR,South,West South Central,,Rural
176,05131,Sebastian County,Arkansas,AR,South,West South Central,"Fort Smith, AR-OK ",Metro
177,05133,Sevier County,Arkansas,AR,South,West South Central,,Rural
178,05135,Sharp County,Arkansas,AR,South,West South Central,"Batesville, AR ",Micro
179,05137,Stone County,Arkansas,AR,South,West South Central,,Rural
180,05139,Union County,Arkansas,AR,South,West South Central,"El Dorado, AR ",Micro
181,05141,Van Buren County,Arkansas,AR,South,West South Central,,Rural
182,05143,Washington County,Arkansas,AR,South,West South Central,"Fayetteville-Springdale-Rogers, AR ",Metro
183,05145,White County,Arkansas,AR,South,West South Central,"Searcy, AR ",Micro
184,05147,Woodruff County,Arkansas,AR,South,West South Central,,Rural
185,05149,Yell County,Arkansas,AR,South,West South Central,"Russellville, AR ",Micro
186,06001,Alameda County,California,CA,West,Pacific,"San Francisco-Oakland-Berkeley, CA ",Metro
187,06003,Alpine County,California,CA,West,Pacific,,Rural
188,06005,Amador County,California,CA,West,Pacific,,Rural
189,06007,Butte County,California,CA,West,Pacific,"Chico, CA ",Metro
190,06009,Calaveras County,California,CA,West,Pacific,,Rural
191,06011,Colusa County,California,CA,West,Pacific,,Rural
192,06013,Contra Costa County,California,CA,West,Pacific,"San Francisco-Oakland-Berkeley, CA ",Metro
193,06015,Del Norte County,California,CA,West,Pacific,"Crescent City, CA ",Micro
194,06017,El Dorado County,California,CA,West,Pacific,"Sacramento-Roseville-Folsom, CA ",Metro
195,06019,Fresno County,California,CA,West,Pacific,"Fresno, CA ",Metro
196,06021,Glenn County,California,CA,West,Pacific,,Rural
197,06023,Humboldt County,California,CA,West,Pacific,"Eureka-Arcata, CA ",Micro
198,06025,Imperial County,California,CA,West,Pacific,"El Centro, CA ",Metro
199,06027,Inyo County,California,CA,West,Pacific,,Rural
200,06029,Kern County,California,CA,West,Pacific,"Bakersfield, CA ",Metro
201,06031,Kings County,California,CA,West,Pacific,"Hanford-Corcoran, CA ",Metro
202,06033,Lake County,California,CA,West,Pacific,"Clearlake, CA ",Micro
