CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS
31740,,,"Manhattan, KS ",Micropolitan Statistical Area,2,,,Pottawatomie County,Kansas,20149
31740,,,"Manhattan, KS ",Micropolitan Statistical Area,2,,,Riley County,Kansas,20161
31820,,,"Manitowoc, WI ",Micropolitan Statistical Area,2,,,Manitowoc County,Wisconsin,55071
31860,,,"Mankato-North Mankato, MN ",Micropolitan Statistical Area,2,,,Blue Earth County,Minnesota,27013
31860,,,"Mankato-North Mankato, MN ",Micropolitan Statistical Area,2,,,Nicollet County,Minnesota,27103
31900,,360,"Mansfield, OH ",Metropolitan Statistical Area,1,,"Mansfield-Bucyrus, OH",Richland County,Ohio,39139
31940,,,"Marinette, WI-MI ",Micropolitan Statistical Area,2,,,Menominee County,Michigan,26109
31940,,,"Marinette, WI-MI ",Micropolitan Statistical Area,2,,,Marinette County,Wisconsin,55075
31980,,,"Marion, IN ",Micropolitan Statistical Area,2,,,Grant County,Indiana,18053
32020,,198,"Marion, OH ",Micropolitan Statistical Area,2,,"Columbus-Marion-Chillicothe, OH",Marion County,Ohio,39101
32060,,,"Marion-Herrin, IL ",Micropolitan Statistical Area,2,,,Williamson County,Illinois,17199
32100,,,"Marquette, MI ",Micropolitan Statistical Area,2,,,Marquette County,Michigan,26103
32140,,,"Marshall, MN ",Micropolitan Statistical Area,2,,,Lyon County,Minnesota,27083
32180,,,"Marshall, MO ",Micropolitan Statistical Area,2,,,Saline County,Missouri,29195
32220,,346,"Marshall, TX ",Micropolitan Statistical Area,2,,"Longview-Marshall, TX",Harrison County,Texas,48203
32260,,,"Marshalltown, IA ",Micropolitan Statistical Area,2,,,Marshall County,Iowa,19127
32300,,,"Martinsville, VA ",Micropolitan Statistical Area,2,,,Henry County,Virginia,51089
32300,,,"Martinsville, VA ",Micropolitan Statistical Area,2,,,Martinsville city,Virginia,51690
32340,,,"Maryville, MO ",Micropolitan Statistical Area,2,,,Nodaway County,Missouri,29147
32380,,,"Mason City, IA ",Micropolitan Statistical Area,2,,,Cerro Gordo County,Iowa,19033
32380,,,"Mason City, IA ",Micropolitan Statistical Area,2,,,Worth County,Iowa,19195
32420,,364,"Mayagüez, PR ",Metropolitan Statistical Area,1,,Mayagüez-San Germán-Cabo Rojo  ,Hormigueros Municipio,Puerto Rico,72067
32420,,364,"Mayagüez, PR ",Metropolitan Statistical Area,1,,Mayagüez-San Germán-Cabo Rojo  ,Mayagüez Municipio,Puerto Rico,72097
32460,,424,"Mayfield, KY ",Micropolitan Statistical Area,2,,"Paducah-Mayfield, KY-IL",Graves County,Kentucky,21083
32500,,,"Maysville, KY",Micropolitan Statistical Area,2,,,Lewis County,Kentucky,21135
32500,,,"Maysville, KY",Micropolitan Statistical Area,2,,,Mason County,Kentucky,21161
32540,,,"McAlester, OK ",Micropolitan Statistical Area,2,,,Pittsburg County,Oklahoma,40121
32580,,,"McAllen-Edinburg-Pharr, TX ",Metropolitan Statistical Area,1,,,Hidalgo County,Texas,48215
32620,,,"McComb, MS ",Micropolitan Statistical Area,2,,,Amite County,Mississippi,28005
32620,,,"McComb, MS ",Micropolitan Statistical Area,2,,,Pike County,Mississippi,28113
32660,,,"McMinnville, TN ",Micropolitan Statistical Area,2,,,Warren County,Tennessee,47177
32700,,,"McPherson, KS ",Micropolitan Statistical Area,2,,,McPherson County,Kansas,20113
32740,,,"Meadville, PA ",Micropolitan Statistical Area,2,,,Crawford County,Pennsylvania,42039
32780,,,"Medford, OR ",Metropolitan Statistical Area,1,,,Jackson County,Oregon,41029
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,DeSoto County,Mississippi,28033
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Marshall County,Mississippi,28093
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Tate County,Mississippi,28137
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Tunica County,Mississippi,28143
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Fayette County,Tennessee,47047
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Shelby County,Tennessee,47157
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Tipton County,Tennessee,47167
32820,,,"Memphis, TN-MS-AR ",Metropolitan Statistical Area,1,,,Crittenden County,Arkansas,5035
32860,,232,"Menomonie, WI ",Micropolitan Statistical Area,2,,"Eau Claire-Menomonie, WI",Dunn County,Wisconsin,55033
32900,,,"Merced, CA ",Metropolitan Statistical Area,1,,,Merced County,California,6047
32940,,,"Meridian, MS ",Micropolitan Statistical Area,2,,,Clarke County,Mississippi,28023
32940,,,"Meridian, MS ",Micropolitan Statistical Area,2,,,Kemper County,Mississippi,28069
32940,,,"Meridian, MS ",Micropolitan Statistical Area,2,,,Lauderdale County,Mississippi,28075
32980,,554,"Merrill, WI ",Micropolitan Statistical Area,2,,"Wausau-Merrill, WI",Lincoln County,Wisconsin,55069
33020,,,"Mexico, MO ",Micropolitan Statistical Area,2,,,Audrain County,Missouri,29007
33060,,,"Miami, OK ",Micropolitan Statistical Area,2,,,Ottawa County,Oklahoma,40115
33100,22744,,"Miami-Fort Lauderdale-Miami Beach, FL ",Metropolitan Statistical Area,1,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,Broward County,Florida,12011
33100,33124,,"Miami-Fort Lauderdale-Miami Beach, FL ",Metropolitan Statistical Area,1,"Miami-Miami Beach-Kendall, FL",,Miami-Dade County,Florida,12086
33100,48424,,"Miami-Fort Lauderdale-Miami Beach, FL ",Metropolitan Statistical Area,1,"West Palm Beach-Boca Raton-Boynton Beach, FL",,Palm Beach County,Florida,12099
